CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-ORURO,JACHAJAKISASOLFESORC
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004521,4,102,81
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004531,5,95,91
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004541,6,97,91
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004551,7,89,79
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004561,8,100,86
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004571,9,99,83
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004581,10,93,76
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004591,11,86,82
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004601,12,84,100
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004611,13,82,87
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004621,14,107,79
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004631,15,97,85
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004641,16,92,98
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004651,17,108,76
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004661,18,95,83
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004671,19,86,84
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004681,20,91,106
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004691,21,20,19
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000531,1,108,72
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000541,2,106,72
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000551,3,113,57
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000561,4,120,64
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000571,5,21,15
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000581,1,120,68
