CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,SOMOS,UN,JACHAJAKISASOLFESORC,P.P.,AORA,NGP,PATRIA-ORURO,LIBRE,FRI,APB-SUMATE,A-UPP,PDC
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006161,5,9,14,6,28,3,9,15,17,19,2,7,2,0
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006171,6,4,12,2,35,4,7,10,15,22,2,1,8,11
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006181,7,4,9,3,28,1,6,8,11,18,2,1,4,5
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006191,8,4,15,1,33,4,12,14,16,15,1,3,5,4
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006201,9,5,15,3,44,3,1,14,6,30,1,2,6,2
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006211,10,3,14,3,31,3,5,15,18,26,1,5,4,2
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006221,11,6,12,7,35,2,9,16,18,28,1,3,2,3
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006231,12,0,2,0,12,1,0,2,0,5,0,0,1,1
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003881,1,9,11,2,31,2,2,28,11,16,2,1,5,10
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003891,2,6,4,4,29,5,3,23,9,18,4,2,6,5
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003901,3,4,14,1,32,5,7,23,10,23,2,2,4,3
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003911,4,4,12,4,36,3,7,23,16,25,1,2,5,5
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003921,5,3,16,1,31,5,6,23,18,17,3,3,10,4
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003931,6,6,13,2,42,3,7,21,12,23,1,6,5,2
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003941,7,4,7,4,24,4,8,25,10,23,3,3,6,5
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003951,8,3,17,1,33,8,5,23,9,31,1,2,9,2
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004491,1,6,3,3,27,1,4,23,14,19,4,2,12,3
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004501,2,2,14,5,33,3,8,17,13,23,1,3,7,4
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004511,3,6,12,6,38,2,8,14,11,10,0,3,9,6
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004521,4,6,6,8,39,5,8,13,12,15,2,2,9,5
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004531,5,5,17,6,34,1,6,17,13,14,1,3,7,0
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004541,6,5,15,4,22,2,2,21,8,13,2,4,3,5
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004551,7,5,5,3,27,1,5,17,16,22,1,5,11,4
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004561,8,3,16,6,26,1,5,11,13,17,3,2,3,7
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004571,9,4,10,6,35,6,10,15,16,13,3,2,7,3
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004581,10,2,12,6,27,4,5,8,16,22,2,2,2,5
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004591,11,4,13,6,26,2,9,11,6,17,0,1,10,10
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004601,12,4,5,3,19,0,8,20,12,17,3,2,10,7
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004611,13,3,9,6,30,1,5,19,16,20,2,5,6,4
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004621,14,4,11,4,28,3,9,17,8,22,0,3,9,6
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004631,15,5,7,3,40,0,4,16,9,16,2,6,7,3
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004641,16,8,12,8,36,1,7,20,9,16,1,3,7,6
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004651,17,1,15,4,29,2,9,16,8,22,5,3,9,4
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004661,18,5,12,4,31,0,10,15,13,11,0,6,6,3
