CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS,MTS,LIBRE,XS-CH,NGP,FRI,CHR,ASOCOIN-POROMA,COKASAL,A-UPP,FUERZA,APB-SUMATE
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004727,1,43,45,10,24,8,8,0,30,,,6,23,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004737,2,56,31,5,17,0,10,6,29,,,0,20,12
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004747,3,59,37,3,26,2,2,2,32,,,6,17,9
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004757,4,48,43,2,24,3,6,4,24,,,4,28,12
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004767,5,36,48,2,22,3,6,5,40,,,5,27,5
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004777,6,55,37,3,18,4,5,4,18,,,4,26,9
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004787,7,39,41,5,21,4,10,4,21,,,7,19,10
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004797,8,37,45,8,24,2,7,3,27,,,5,19,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004807,9,34,38,4,27,3,7,4,41,,,3,14,7
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004817,10,48,61,6,17,3,2,2,17,,,7,24,8
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004827,11,38,32,1,23,7,9,5,31,,,7,22,7
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004837,12,47,44,5,27,5,5,5,26,,,5,12,13
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004847,13,42,43,5,22,2,8,5,30,,,6,29,10
