CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,IH,JALLALLA LP,NGP,PATRIA-SOL,A-UPP,VENCEREMOS,VIDA,PDC,FRI,M.P.S.,UPC,ASP,APB-SUMATE,SPBC,MTS,LUS-1S,LIBRE,ASLP,ML,UN,MNR,SCTR-LP,MACOJMA,CAOSAM,PODER-O,SICUS,PATRIA-LA-PAZ,ASI,MCCA-NP,PUMA,T.S.,MK-PC,CAOTM
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012457,5,39,16,0,,7,27,1,1,0,9,0,6,31,27,5,,4,27,,,,,,,,,1,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012467,6,36,17,0,,4,24,1,0,1,11,1,8,32,38,0,,8,23,,,,,,,,,2,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012477,7,36,17,2,,1,23,1,1,2,8,3,11,30,26,0,,9,28,,,,,,,,,8,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012487,8,53,11,1,,10,14,1,1,1,10,1,14,26,34,1,,5,18,,,,,,,,,2,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012497,9,46,15,1,,10,31,0,1,0,9,3,8,21,23,2,,2,30,,,,,,,,,4,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012507,10,45,13,3,,2,31,4,1,2,9,1,7,29,28,2,,3,21,,,,,,,,,8,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012517,11,2,4,0,,0,2,0,0,0,0,0,1,3,5,0,,1,4,,,,,,,,,0,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012527,1,50,11,2,,2,28,2,1,2,7,1,15,19,31,0,,5,19,,,,,,,,,1,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012537,2,34,16,0,,4,27,0,4,2,13,1,18,27,25,4,,8,24,,,,,,,,,3,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012547,3,49,10,2,,0,18,4,1,1,13,0,10,27,32,1,,4,16,,,,,,,,,4,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012557,4,49,15,1,,2,22,2,0,0,11,0,9,22,27,3,,9,29,,,,,,,,,1,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012567,5,50,20,3,,2,22,0,1,2,7,1,11,27,25,4,,5,18,,,,,,,,,5,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012577,6,35,28,1,,0,28,2,1,0,10,1,14,25,30,0,,4,19,,,,,,,,,2,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012587,7,41,15,1,,3,23,1,1,1,14,1,8,20,40,1,,4,20,,,,,,,,,4,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012597,8,47,25,3,,3,11,1,2,1,8,0,12,35,28,0,,6,18,,,,,,,,,1,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012607,9,45,16,0,,6,16,1,3,2,16,0,13,31,33,1,,5,20,,,,,,,,,4,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012617,10,49,18,3,,5,19,1,0,0,6,1,19,25,27,2,,3,20,,,,,,,,,4,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012627,11,40,23,1,,6,22,0,0,1,8,0,4,25,31,2,,6,26,,,,,,,,,5,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012637,12,47,13,1,,4,20,1,0,0,4,0,9,18,46,0,,3,11,,,,,,,,,3,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012647,13,44,14,1,,1,24,1,0,1,6,1,19,44,14,1,,4,22,,,,,,,,,6,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012657,14,50,17,1,,2,26,2,1,1,11,0,12,29,17,2,,9,17,,,,,,,,,1,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012667,15,47,17,0,,0,17,5,0,0,18,0,15,21,25,1,,4,25,,,,,,,,,4,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012677,16,6,3,1,,0,13,0,0,0,1,0,2,4,7,0,,0,1,,,,,,,,,1,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013147,1,37,16,0,,2,28,1,0,1,8,1,4,23,29,2,,5,17,,,,,,,,,7,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013157,2,51,13,3,,11,9,0,2,0,7,3,8,19,46,3,,3,14,,,,,,,,,1,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013167,3,52,11,0,,5,19,0,2,2,8,0,10,27,40,0,,5,10,,,,,,,,,0,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013177,4,50,13,2,,1,20,1,0,2,9,2,10,25,23,0,,4,21,,,,,,,,,6,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013187,5,71,8,1,,2,10,3,1,0,20,0,7,23,40,3,,3,18,,,,,,,,,0,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013197,6,47,21,1,,1,25,0,2,2,9,1,6,21,32,2,,4,25,,,,,,,,,2,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013207,7,47,15,2,,1,19,0,1,1,6,0,16,28,21,5,,2,23,,,,,,,,,4,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013217,8,37,16,2,,0,20,2,0,6,10,1,7,25,42,1,,2,13,,,,,,,,,2,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013227,9,15,4,0,,0,3,0,0,1,4,0,1,5,9,0,,0,1,,,,,,,,,2,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013037,1,69,10,0,,4,11,1,2,0,8,0,2,26,47,2,,3,10,,,,,,,,,4,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013047,2,50,13,1,,3,6,2,0,3,13,0,4,36,41,2,,10,18,,,,,,,,,3,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013057,3,52,13,1,,1,7,0,2,0,8,0,7,29,40,1,,1,13,,,,,,,,,5,,,,,,
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013067,4,0,18,37,,3,8,39,5,63,1,2,2,3,4,2,,7,12,,,,,,,,,3,,,,,,
