CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,MTS,NGP,CDC,PDC,ISA,APB-SUMATE,A-UPP
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000511,5,18,3,11,14,15,10,,5
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000521,6,15,4,14,28,9,8,,4
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000531,7,23,7,6,19,15,3,,2
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000541,8,3,0,2,0,0,1,,0
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000551,1,42,10,8,52,6,3,,3
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000561,2,21,15,9,47,4,1,,1
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000571,3,18,11,3,44,9,1,,3
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000581,4,22,16,2,26,4,4,,3
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000591,5,32,15,2,40,6,6,,9
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000601,6,31,12,4,35,10,5,,4
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000611,7,49,16,7,27,1,3,,3
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000621,1,14,14,7,25,2,5,,1
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000631,2,18,12,8,28,10,5,,1
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000641,3,1,1,0,4,1,1,,0
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000651,1,22,1,20,14,6,4,,4
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000661,2,15,0,14,12,7,4,,3
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000821,1,67,7,2,69,10,2,,1
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000831,2,57,9,2,76,13,1,,2
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000841,3,61,8,5,69,11,1,,1
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000851,4,61,12,2,70,13,2,,2
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000861,5,62,8,3,65,16,0,,2
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000871,6,70,4,3,72,13,0,,1
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000881,7,52,3,7,65,16,3,,5
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000891,8,68,12,1,69,7,1,,1
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000901,9,33,5,1,48,13,2,,2
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001201,1,62,6,1,76,9,1,,4
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001211,2,48,7,3,68,8,1,,3
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001221,3,44,7,4,93,21,0,,1
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001231,4,42,9,3,84,19,2,,1
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001241,5,61,3,3,78,15,2,,4
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001251,6,61,9,5,68,14,1,,2
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001261,7,52,2,4,79,17,0,,3
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001271,8,53,5,2,82,9,4,,2
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001281,9,30,3,0,33,6,1,,1
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001351,1,58,7,1,66,20,2,,0
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001361,2,57,3,6,70,14,0,,1
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001371,3,47,10,7,54,18,6,,2
