CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PDC,VENCEREMOS,JALLALLA LP,IH,PATRIA-SOL,SPBC,ASLP,A-UPP,UPC,LIBRE,NGP,MTS,FRI,M.P.S.,ASP,VIDA,APB-SUMATE
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012501,10,1,7,6,20,45,6,14,4,1,18,9,9,7,2,3,3,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012511,11,0,2,1,1,6,1,0,0,0,3,1,1,1,0,0,0,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012521,1,5,17,3,29,35,3,17,3,1,11,3,5,3,6,3,7,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012531,2,6,12,2,29,44,4,19,1,3,10,5,11,9,5,6,3,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012541,3,10,9,5,28,26,9,13,3,4,14,4,5,3,5,2,9,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012551,4,6,17,5,28,31,4,11,4,1,16,3,9,3,10,3,3,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012561,5,2,11,5,31,27,7,10,4,4,17,6,9,9,6,4,3,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012571,6,3,14,7,15,36,1,10,2,0,20,0,10,2,0,6,2,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012581,7,4,17,4,20,28,14,13,8,4,16,4,7,5,5,2,4,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012591,8,5,13,7,33,29,9,11,4,3,13,7,7,4,4,2,2,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012601,9,5,11,4,23,37,7,12,4,1,17,7,8,2,8,2,2,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012611,10,5,13,4,19,35,4,14,3,4,18,11,8,5,3,5,5,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012621,11,4,19,4,16,36,9,11,8,3,13,9,9,5,7,0,3,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012631,12,3,22,5,24,29,11,8,4,3,11,5,6,3,1,3,4,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012641,13,4,18,2,33,32,6,7,1,5,16,3,9,7,5,3,1,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012651,14,7,16,3,17,32,3,19,6,1,12,7,12,3,7,5,2,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012661,15,7,14,3,19,31,6,11,0,2,13,5,12,7,1,3,9,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012671,16,2,4,0,4,9,1,2,0,0,2,1,0,2,1,1,0,1
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013141,1,3,12,3,28,29,9,18,2,1,18,3,6,4,5,3,3,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013151,2,9,8,3,17,24,10,12,8,2,13,7,5,4,6,3,7,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013161,3,4,8,4,16,41,7,6,5,4,9,7,5,2,4,5,2,13
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013171,4,0,13,3,19,26,5,10,3,5,14,1,4,7,2,4,1,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013181,5,4,7,4,29,35,4,13,1,1,9,4,10,3,9,10,8,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013191,6,6,15,9,24,44,9,9,2,2,11,3,4,11,3,3,3,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013201,7,8,6,3,32,27,4,12,2,3,11,3,7,5,4,5,11,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013211,8,1,18,7,14,30,6,11,4,3,8,7,8,4,4,0,5,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013221,9,0,4,0,8,11,4,1,0,1,2,0,2,2,1,0,0,1
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013031,1,2,8,2,29,31,5,9,6,4,5,6,9,2,3,1,8,12
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013041,2,5,15,1,24,26,9,10,2,3,5,5,15,4,9,3,12,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013051,3,5,6,4,32,24,4,6,5,2,6,5,15,4,9,3,4,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013061,4,5,9,3,35,19,11,14,1,1,7,6,8,2,10,2,11,14
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013071,5,6,10,9,20,19,3,12,6,5,9,8,4,9,3,3,5,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013081,6,6,22,3,28,13,6,13,5,3,7,7,9,3,9,2,4,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013091,7,7,9,2,22,25,8,8,6,1,10,10,3,8,8,2,5,10
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013101,8,4,9,2,20,14,7,9,1,4,9,7,10,7,15,2,16,15
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013111,9,4,12,2,27,20,2,10,0,8,5,9,14,8,0,3,4,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013121,10,9,15,2,23,28,9,6,2,3,4,6,6,4,5,1,10,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013131,11,3,4,2,20,9,4,2,0,1,5,3,4,3,3,2,1,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013231,1,4,23,6,26,20,8,17,8,2,12,10,7,5,7,2,5,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013241,2,6,14,5,28,26,9,18,4,0,14,9,7,6,2,0,3,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013251,3,6,5,9,19,26,7,15,2,2,6,10,9,4,5,2,9,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013261,4,7,8,4,23,20,8,17,7,3,10,6,12,6,7,1,3,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013271,5,3,18,5,25,30,6,12,1,2,22,4,3,10,4,1,6,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013281,6,2,18,3,32,27,5,16,3,2,13,12,4,7,6,4,5,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013291,7,5,19,7,23,22,10,22,4,2,12,6,7,2,6,3,5,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013301,8,5,12,4,21,24,10,6,3,3,11,4,5,6,7,3,9,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013311,9,5,14,4,35,35,6,11,7,1,10,3,6,7,6,2,6,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013321,10,4,22,6,24,36,7,16,2,4,11,8,6,1,6,4,15,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013331,11,3,13,6,30,24,5,19,4,3,10,6,7,6,12,3,3,12
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013341,12,8,13,7,23,25,9,14,3,5,19,4,1,8,6,1,6,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013351,13,5,11,5,30,30,1,19,5,5,16,4,6,4,3,4,8,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013361,14,6,9,3,34,26,10,17,3,7,11,7,5,3,3,1,5,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,201,U. E. Abraham Lincoln,2013371,15,1,3,2,5,11,4,5,0,1,4,1,3,0,1,0,0,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,202,U. E. John Fitzgerald Kennedy,2012681,1,5,13,6,28,37,10,12,1,2,26,9,7,2,5,4,2,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,202,U. E. John Fitzgerald Kennedy,2012691,2,4,17,1,18,44,6,14,4,1,22,4,4,7,4,6,5,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,202,U. E. John Fitzgerald Kennedy,2012701,3,3,14,3,22,50,8,16,3,2,19,1,8,5,1,3,5,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,202,U. E. John Fitzgerald Kennedy,2012711,4,3,17,1,27,50,6,8,3,6,16,3,11,8,4,2,5,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,202,U. E. John Fitzgerald Kennedy,2012721,5,2,22,4,22,61,6,10,4,2,5,5,7,2,2,4,11,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,202,U. E. John Fitzgerald Kennedy,2012731,6,1,7,0,13,21,2,8,1,0,10,2,1,2,0,0,3,1
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013871,1,5,14,8,41,22,8,14,3,3,7,7,10,1,8,5,4,1
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013881,2,6,18,4,31,27,7,13,6,3,14,2,3,6,10,2,4,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013891,3,8,15,8,32,23,9,11,3,2,16,4,7,7,14,2,4,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013901,4,6,21,3,22,33,9,6,4,5,17,9,6,7,6,0,3,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013911,5,7,16,1,31,22,9,10,1,1,9,1,7,8,9,2,3,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013921,6,7,7,8,35,23,9,13,9,1,14,6,5,4,8,4,4,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013931,7,6,12,4,26,35,1,7,2,5,18,5,14,3,7,5,3,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013941,8,5,13,10,26,32,8,11,4,1,9,1,13,8,11,4,3,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013951,9,9,17,2,31,25,5,9,5,1,9,9,16,3,5,2,6,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013961,10,3,17,4,42,25,4,12,5,2,16,2,4,5,4,4,3,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013971,11,6,12,5,26,33,4,14,2,3,19,5,2,9,6,2,5,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013981,12,7,14,2,21,29,9,7,4,4,22,3,4,9,6,1,5,1
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2013991,13,5,9,2,19,25,13,12,6,1,16,5,5,5,8,4,1,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014001,14,8,13,4,26,26,2,20,3,2,16,6,10,5,5,4,4,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014011,15,1,12,2,28,33,10,12,3,2,23,5,2,7,9,2,6,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014021,16,6,6,4,39,33,2,13,2,2,11,11,10,6,10,2,5,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014031,17,5,9,4,29,39,9,18,3,8,10,6,4,5,4,7,5,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014041,18,3,15,2,36,35,9,9,1,3,12,5,8,5,4,4,3,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014051,19,4,5,8,35,24,6,7,1,8,7,8,9,10,6,1,3,14
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014061,20,6,9,7,34,25,6,10,4,1,14,8,12,5,4,1,3,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014071,21,8,15,10,21,21,6,13,3,2,9,4,5,3,12,4,3,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014081,22,7,14,6,36,33,6,10,1,3,8,4,4,6,5,4,3,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014091,23,5,14,1,27,25,7,14,4,3,16,8,11,11,4,6,5,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014101,24,5,10,4,43,32,4,12,5,4,11,2,4,5,5,6,3,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014111,25,6,16,4,31,29,3,13,7,0,9,6,4,8,6,3,7,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014121,26,7,14,3,30,26,11,11,2,1,16,1,3,3,4,2,6,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014131,27,2,13,5,19,27,4,18,3,0,11,4,4,3,3,3,5,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014141,28,5,14,6,31,20,9,12,2,7,9,9,11,2,6,2,6,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014151,29,4,12,1,28,26,4,13,1,6,13,5,8,8,6,3,4,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,204,U. E. Nicolás Fernandez Naranjo,2014161,30,5,13,5,33,30,8,15,1,2,17,2,10,7,2,6,2,1
