CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UNPA,NGP,MTS,UNIDOS-,PATRIA-UNIDOS,LIBRE,SOLUCIONES-CON-TODOS,PDC,A-UPP,UN,POKUY,FRI,APB-SUMATE,U.P.C,CREE,UNE,FAP,F-S,ARI,TU,PPS
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001797,24,,15,2,6,14,5,11,4,39,,,1,89,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001807,25,,11,4,9,11,10,12,4,39,,,2,97,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001817,26,,23,2,7,10,12,9,2,28,,,4,100,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001827,27,,17,2,8,9,10,9,6,25,,,3,104,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001837,28,,12,2,3,13,7,10,2,29,,,2,121,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001847,29,,16,4,8,14,11,6,6,16,,,3,99,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001857,30,,16,4,6,11,10,4,3,22,,,9,110,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001867,31,,12,6,9,6,12,19,1,25,,,8,93,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001877,32,,21,5,1,17,13,15,1,26,,,1,104,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001887,33,,8,3,4,18,10,6,4,27,,,2,117,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001897,34,,9,2,3,8,10,5,4,6,,,1,41,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001387,1,,13,3,0,14,3,10,6,16,,,1,82,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001397,2,,19,1,7,9,6,19,1,29,,,1,108,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001407,3,,22,4,11,11,10,20,1,18,,,1,105,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001417,4,,20,3,5,4,8,7,2,32,,,1,120,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001427,5,,11,8,8,7,12,8,5,36,,,2,92,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001437,6,,22,2,5,8,6,22,3,27,,,0,114,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001447,7,,14,3,14,7,8,13,1,25,,,7,102,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001457,8,,13,6,5,11,8,9,0,26,,,3,122,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001467,9,,18,5,9,19,11,18,2,23,,,3,95,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001477,10,,17,4,8,12,12,8,1,29,,,4,103,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001487,11,,14,3,12,7,11,10,2,20,,,6,120,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001497,12,,9,7,11,8,9,9,1,31,,,6,108,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001507,13,,11,4,10,7,9,20,3,21,,,3,101,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001517,14,,25,4,3,10,3,9,5,26,,,3,99,,,,,,,,
