CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DEMOCRATAS,PDC,ISA,CDC,T,UNIR,PATRIA,AIR,NGP,SOMOSCHACO,MATE,APB-SUMATE,A-UPP,FAU,CCGT
1,Cercado,1,Tarija,1878,San Jacinto Sud,1,U.E. San Jacinto Sud,6000447,2,1,0,21,1,,95,0,34,,3,,,,4,,
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000457,1,4,0,10,6,,74,0,33,,2,,,,1,,
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000467,2,3,0,7,1,,67,0,30,,0,,,,4,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000477,1,7,0,15,5,,74,0,27,,6,,,,7,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000487,2,6,0,24,8,,59,0,38,,3,,,,3,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000497,3,7,0,11,3,,78,0,39,,7,,,,8,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000507,4,1,0,18,2,,74,0,30,,7,,,,5,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000517,5,6,0,25,10,,66,0,30,,10,,,,4,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000527,6,3,0,22,7,,75,0,22,,8,,,,4,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000537,7,4,0,18,4,,62,0,31,,4,,,,6,,
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000547,8,1,0,1,0,,10,0,3,,0,,,,1,,
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000557,1,17,0,15,2,,94,0,38,,1,,,,2,,
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000567,2,18,0,20,1,,87,0,27,,1,,,,6,,
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000577,3,17,0,15,5,,84,0,34,,1,,,,5,,
