CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MNR,PATRIA-UNIDOS
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002161,1,66,122
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002171,2,70,120
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002181,3,60,131
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002191,4,57,122
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002201,5,56,127
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002211,6,74,114
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002461,1,62,123
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002471,2,66,116
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002481,3,61,114
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001881,1,75,113
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001891,2,64,125
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001901,3,84,105
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001911,4,80,119
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001921,5,69,114
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001931,6,62,128
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001941,7,67,110
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001951,8,72,112
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001961,9,78,107
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001971,10,68,114
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001981,11,77,112
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001991,12,57,104
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8002001,13,61,107
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003291,1,71,115
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003301,2,89,96
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003311,3,65,115
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003321,4,73,104
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003331,5,65,116
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003341,6,75,115
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003351,7,75,118
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003361,8,59,127
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003371,9,69,132
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003381,10,67,125
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003391,11,68,115
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003401,12,74,114
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003411,13,5,20
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002521,1,70,117
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002531,2,70,113
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002541,3,68,125
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002551,4,62,132
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002561,5,71,111
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002571,6,30,57
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000671,1,89,93
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000681,2,83,94
