CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,CDC
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000631,2,31,118
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000641,3,5,14
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000651,1,27,143
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000661,2,27,90
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000821,1,67,121
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000831,2,60,125
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000841,3,83,112
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000851,4,81,117
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000861,5,67,127
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000871,6,80,104
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000881,7,71,114
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000891,8,72,120
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000901,9,42,74
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001201,1,53,142
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001211,2,61,117
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001221,3,55,138
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001231,4,51,142
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001241,5,62,135
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001251,6,65,130
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001261,7,68,131
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001271,8,65,132
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001281,9,29,63
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001351,1,64,135
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001361,2,68,135
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001371,3,64,119
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001381,4,71,127
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001391,5,81,122
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001401,6,66,134
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001411,7,96,109
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001421,8,60,135
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001431,9,71,122
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001441,10,29,67
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000951,1,71,126
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000961,2,61,131
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000971,3,63,126
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000981,4,59,144
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000991,5,63,132
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001001,6,60,136
