CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,TUFE,A-UPP,MTS,MNR,DESPIERTA,CPEM-B,PATRIA-UNIDOS,NGP
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001802,8,23,4,5,22,14,2,60,1
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001812,9,21,8,3,22,17,5,70,0
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001822,10,14,8,3,14,12,1,47,1
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000572,1,10,3,5,17,20,5,75,2
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000582,2,20,4,3,16,23,4,58,1
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000592,3,11,8,4,20,21,2,71,0
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000602,4,16,5,6,22,18,3,68,0
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000612,5,13,13,8,26,12,4,62,4
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000622,6,19,10,6,25,20,1,66,0
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000632,7,16,6,2,30,19,4,87,0
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000642,8,16,4,6,20,28,3,75,0
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000652,9,15,3,4,20,16,4,74,0
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000662,10,14,10,3,22,16,1,74,3
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002162,1,12,7,4,14,43,2,76,1
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002172,2,15,3,7,18,18,1,78,2
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002182,3,12,9,1,15,25,1,74,3
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002192,4,10,8,4,11,27,2,67,1
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002202,5,15,5,4,12,34,0,71,0
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002212,6,14,8,1,20,30,4,67,0
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002462,1,9,2,2,25,30,1,68,2
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002472,2,17,7,3,27,33,1,63,1
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002482,3,11,4,3,24,28,2,58,0
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001882,1,12,7,6,23,25,2,72,3
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001892,2,17,6,1,15,26,2,92,4
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001902,3,15,3,6,21,22,6,62,2
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001912,4,16,7,5,23,24,3,74,0
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001922,5,21,5,4,20,25,5,63,5
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001932,6,21,3,4,17,27,4,60,2
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001942,7,20,10,1,17,27,2,66,2
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001952,8,24,4,3,25,32,4,48,0
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001962,9,22,4,1,16,23,2,51,1
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001972,10,20,7,6,15,20,2,50,1
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001982,11,23,4,1,26,30,0,57,1
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001992,12,17,7,5,14,25,2,57,1
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8002002,13,15,5,2,17,24,0,57,0
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003292,1,15,10,3,18,27,1,72,2
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003302,2,20,8,10,19,18,2,64,1
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003312,3,10,6,6,12,18,4,72,0
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003322,4,8,7,2,18,23,1,70,1
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003332,5,19,5,4,21,18,7,75,1
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003342,6,11,8,7,18,18,1,70,2
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003352,7,15,6,3,19,24,1,74,0
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003362,8,11,9,10,13,17,2,69,2
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003372,9,13,6,3,20,18,0,70,2
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003382,10,9,7,4,12,21,5,84,1
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003392,11,15,14,8,16,24,5,61,0
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003402,12,7,7,7,16,26,3,70,5
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003412,13,1,0,0,2,1,0,15,0
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002522,1,13,18,5,14,23,1,76,0
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002532,2,14,12,4,27,18,3,68,3
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002542,3,20,13,4,16,22,5,56,0
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002552,4,21,5,6,13,20,4,70,0
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002562,5,16,8,7,19,16,2,76,2
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002572,6,9,5,2,8,18,1,32,0
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000672,1,24,10,10,18,11,2,50,1
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000682,2,19,11,3,23,23,4,44,2
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000692,3,16,11,12,17,17,1,50,1
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000702,4,7,11,7,25,17,2,50,0
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000712,5,17,5,4,21,13,1,54,0
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000722,6,21,9,10,14,15,0,51,3
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000732,7,18,6,7,29,13,4,38,1
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000742,8,8,12,8,26,14,2,35,4
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000752,9,18,4,2,28,10,1,59,1
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000762,10,11,6,7,21,15,5,39,3
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000772,11,14,6,7,18,12,2,59,1
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000782,12,21,11,8,19,18,5,47,2
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000792,13,21,8,10,18,17,3,54,3
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000802,14,17,8,5,28,16,3,52,1
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000812,15,17,6,10,24,12,4,48,0
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000822,16,14,6,9,20,24,1,42,1
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000832,17,10,4,7,14,8,1,22,1
1,Cercado,1,Trinidad,2526,Trinidad,16,(Cárcel) Cárcel Mocobi,8003692,1,4,5,4,11,3,5,34,2
1,Cercado,1,Trinidad,2526,Trinidad,16,(Cárcel) Cárcel Mocobi,8003702,2,2,6,3,10,0,3,12,1
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002222,1,23,4,0,21,14,1,88,0
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002232,2,20,3,2,14,23,0,80,1
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002242,3,13,1,1,17,29,1,76,1
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002252,4,17,10,4,19,36,0,63,0
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002262,5,18,7,3,24,21,3,68,1
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002272,6,21,5,3,23,15,1,75,0
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002282,7,11,7,1,29,29,0,80,1
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002292,8,8,5,2,18,20,1,72,1
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003062,1,17,4,5,18,23,5,82,0
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003072,2,16,6,4,25,20,1,69,1
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003082,3,21,5,4,17,19,2,57,1
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003092,4,14,9,4,20,21,2,58,1
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003102,5,24,6,5,23,19,1,59,2
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003112,6,12,7,2,22,28,6,68,1
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003122,7,12,13,1,24,21,3,76,0
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003132,8,15,5,8,16,22,2,58,0
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003142,9,25,6,3,20,20,5,61,0
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003152,10,17,8,5,15,11,8,61,0
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003162,11,11,7,6,23,28,2,78,2
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003172,12,18,11,1,17,23,5,57,1
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003182,13,14,12,3,17,26,3,78,0
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003192,14,11,4,5,15,24,2,83,0
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003202,15,7,8,2,6,7,1,21,2
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001102,1,28,5,3,17,9,6,66,3
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001112,2,17,6,7,14,20,1,65,5
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001122,3,12,12,11,23,16,2,45,2
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001132,4,19,10,7,16,14,0,60,2
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001142,5,19,6,2,28,16,1,52,5
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001152,6,22,7,10,19,14,2,55,5
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001162,7,28,8,4,19,10,3,46,2
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001172,8,21,5,8,16,16,2,54,2
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001182,9,18,4,9,29,25,3,50,5
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001192,10,19,7,4,15,21,6,62,0
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001202,11,18,5,7,18,9,2,62,3
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001212,12,13,7,7,16,13,3,33,0
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002302,1,13,5,1,18,22,1,80,0
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002312,2,14,9,4,20,25,1,60,2
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002322,3,17,7,4,18,17,8,72,0
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002332,4,9,5,4,24,29,1,62,1
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002342,5,13,7,6,30,13,3,67,0
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002352,6,12,7,1,21,21,2,72,1
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002362,7,17,11,0,18,15,5,74,0
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002372,8,12,6,4,15,22,1,65,1
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002382,9,17,7,5,14,18,4,71,2
