CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,SOMOS,JACHAJAKISASOLFESORC,AORA,PATRIA-ORURO,A-UPP,NGP,LIBRE,PDC,UN,APB-SUMATE,P.P.,FRI
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006131,2,5,18,34,5,14,12,12,25,,5,10,,
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006141,3,5,23,30,15,19,10,14,24,,5,3,,
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006151,4,4,28,39,10,24,12,6,24,,4,3,,
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006161,5,10,20,24,11,19,1,12,26,,5,16,,
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006171,6,4,17,30,15,10,17,9,27,,5,7,,
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006181,7,2,16,27,15,11,6,11,21,,5,5,,
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006191,8,6,14,32,11,20,9,12,23,,5,4,,
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006201,9,7,25,42,8,10,11,13,24,,3,12,,
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006211,10,3,18,28,8,12,7,13,35,,3,13,,
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006221,11,7,15,29,12,13,3,14,33,,8,8,,
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006231,12,1,2,14,1,0,2,3,4,,2,1,,
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003881,1,9,14,37,3,12,9,19,23,,6,7,,
