CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,PATRIA-UNIDOS,A.S.,MNR,NGP,APP,LIBRE,DEMOCRATAS,A-UPP,APB-SUMATE,UN,CAOP,PDC
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004291,6,2,48,97,3,1,24,13,4,0,4,1,1,2
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004301,7,0,2,15,1,0,1,1,0,0,0,0,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001161,1,5,41,84,2,5,49,2,1,1,6,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001171,2,2,56,93,3,0,37,0,1,2,1,1,0,3
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001181,3,1,41,94,1,0,48,2,1,5,2,1,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001191,4,1,33,91,3,2,50,2,1,6,0,0,3,1
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001201,5,3,36,105,0,1,47,3,2,0,1,2,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001211,6,0,37,85,2,1,51,2,3,1,2,1,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001221,7,1,42,91,4,3,45,0,0,4,2,2,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001231,8,3,50,63,2,3,46,2,0,1,1,0,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001301,1,2,48,105,8,2,25,3,1,3,2,0,1,3
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001311,2,3,45,93,4,2,27,7,1,3,1,3,2,0
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001321,3,1,53,104,5,3,32,0,0,4,0,2,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001331,4,6,41,86,4,8,34,3,1,4,1,0,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001341,5,4,54,103,2,5,20,2,1,3,0,0,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001351,6,3,57,75,0,1,29,2,2,1,0,1,0,3
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001361,7,3,30,75,1,2,20,0,1,5,0,0,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001451,1,4,55,91,2,2,34,1,1,3,2,0,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001461,2,0,46,105,1,5,23,4,0,0,0,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001471,3,4,43,90,3,1,35,5,2,4,3,0,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001481,4,3,54,93,0,0,18,3,0,0,2,0,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001491,5,0,52,102,2,0,22,2,0,4,4,2,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001501,6,3,50,112,1,1,11,1,2,3,2,2,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001511,7,0,50,96,2,1,31,1,0,8,2,3,1,3
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001521,8,0,67,76,2,1,31,2,1,3,0,2,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001531,9,2,47,103,2,12,25,3,0,1,2,0,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001541,10,2,50,107,2,2,17,3,1,3,1,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001551,11,1,63,93,1,1,16,4,0,3,1,1,2,3
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001561,12,3,54,76,3,2,15,1,0,5,1,1,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001571,13,7,59,70,1,2,16,2,0,6,3,1,3,0
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001581,14,4,49,91,3,1,15,8,0,3,4,2,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002311,1,2,45,61,3,1,28,5,0,4,2,3,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002321,2,2,30,91,1,2,27,3,1,4,0,0,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002331,3,1,47,87,2,2,36,2,0,3,4,1,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002341,4,0,34,95,0,2,28,1,1,1,3,3,2,0
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002351,5,0,39,106,1,4,39,4,1,3,2,0,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002361,6,0,39,90,3,0,48,2,0,2,1,3,2,0
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002371,7,0,25,112,1,1,52,2,0,2,0,0,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002381,8,0,8,35,1,0,6,1,0,0,1,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002391,1,2,44,84,5,2,31,4,0,1,3,4,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002401,2,3,39,81,3,3,54,4,0,0,3,0,1,3
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002411,3,2,45,97,2,1,34,5,0,2,1,1,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002421,4,1,36,86,7,1,44,5,0,3,6,0,1,3
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002431,5,1,52,97,6,1,36,4,3,2,4,0,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002441,6,3,33,40,1,0,33,4,0,0,1,1,0,2
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001371,1,1,30,85,4,1,27,2,4,1,2,0,5,3
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001381,2,4,49,78,1,1,15,5,1,5,2,1,1,6
