CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-UNIDOS,MTS,A.S.,APP,DEMOCRATAS,A-UPP,PDC,UN,CAOP,APB-SUMATE,LIBRE,NGP,CAOCH,CONACH-W,CSUTOAPCH,A-P,ASCAP,JAP,S-P,MNR,POR
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002297,10,22,17,16,6,0,2,2,10,1,16,7,33,,,,,3,7,11,24,
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002307,11,24,36,19,5,0,0,4,6,1,13,7,21,,,,,4,8,14,38,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004247,1,21,46,20,8,0,3,3,4,2,18,5,21,,,,,0,4,20,26,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004257,2,20,51,16,1,1,2,3,6,4,12,10,23,,,,,1,9,18,21,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004267,3,18,48,17,2,2,0,2,6,3,10,9,22,,,,,2,15,16,22,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004277,4,18,48,25,3,2,1,3,5,2,14,7,26,,,,,7,10,12,23,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004287,5,32,36,21,8,1,1,2,3,3,18,5,19,,,,,4,12,13,22,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004297,6,38,48,23,5,1,0,1,5,1,11,14,14,,,,,8,11,9,16,
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004307,7,3,2,5,0,0,0,0,1,0,1,0,2,,,,,1,0,0,2,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001167,1,16,47,14,7,0,4,7,6,4,19,2,27,,,,,5,12,5,25,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001177,2,22,29,17,5,0,2,1,3,5,14,5,36,,,,,3,9,12,35,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001187,3,19,38,23,3,2,1,1,5,5,13,6,31,,,,,1,9,13,16,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001197,4,23,26,12,6,0,2,6,6,4,15,6,28,,,,,5,5,18,27,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001207,5,21,30,16,3,1,2,2,9,3,15,7,19,,,,,5,12,24,30,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001217,6,26,28,21,5,2,1,1,5,4,8,3,22,,,,,4,14,15,26,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001227,7,25,40,17,6,0,0,4,2,4,18,5,24,,,,,3,11,9,29,
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001237,8,23,23,9,6,1,2,3,7,6,16,8,25,,,,,3,7,9,22,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001307,1,17,44,26,4,1,2,6,2,4,10,3,15,,,,,4,10,13,29,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001317,2,21,33,23,4,0,3,7,5,7,7,1,15,,,,,9,11,12,28,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001327,3,22,37,20,3,2,0,7,7,4,5,1,30,,,,,5,6,15,26,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001337,4,15,27,23,2,3,0,3,4,6,14,4,19,,,,,6,13,12,25,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001347,5,25,31,29,2,3,1,3,8,9,10,2,11,,,,,6,14,9,15,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001357,6,28,25,26,5,2,2,5,6,2,9,6,21,,,,,3,12,11,22,
1,Tomás Frías,1,Potosí,1494,Potosí,16,Kinder Concepcion,5001367,7,22,16,11,2,1,0,4,3,2,6,2,6,,,,,6,10,13,8,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001457,1,29,24,33,7,1,1,2,2,2,13,6,14,,,,,4,10,17,19,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001467,2,23,37,30,4,0,0,4,3,2,12,2,6,,,,,4,14,16,21,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001477,3,33,29,23,4,2,0,4,6,4,4,6,16,,,,,2,15,13,26,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001487,4,32,30,31,2,2,0,4,3,4,12,6,8,,,,,7,10,12,11,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001497,5,27,29,27,2,1,1,5,5,4,23,5,17,,,,,2,12,13,17,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001507,6,31,29,36,1,0,1,4,9,1,10,4,12,,,,,10,3,10,26,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001517,7,27,38,22,1,1,1,1,7,2,16,9,17,,,,,6,14,11,22,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001527,8,40,24,35,6,1,0,3,5,3,14,1,7,,,,,4,14,6,29,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001537,9,27,28,26,2,1,0,3,5,8,15,7,20,,,,,7,9,10,14,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001547,10,31,42,29,2,2,0,1,0,1,15,4,13,,,,,2,10,13,15,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001557,11,44,35,24,1,3,0,3,1,1,13,6,6,,,,,2,13,11,16,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001567,12,34,32,25,4,2,2,5,3,6,10,7,5,,,,,6,9,5,6,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001577,13,37,26,19,5,1,2,7,9,4,11,8,9,,,,,4,8,8,11,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001587,14,35,21,22,2,3,3,4,3,4,12,7,9,,,,,11,7,10,19,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002317,1,33,23,15,6,1,5,4,6,6,9,5,10,,,,,3,11,12,12,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002327,2,22,24,29,2,3,3,7,4,3,12,9,9,,,,,6,2,17,11,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002337,3,28,32,30,7,0,0,4,6,2,22,5,8,,,,,6,3,19,13,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002347,4,21,23,28,3,1,1,5,2,6,23,4,9,,,,,6,11,14,15,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002357,5,21,25,30,4,2,1,6,4,6,20,7,12,,,,,3,12,23,21,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002367,6,30,31,24,7,3,0,4,10,3,17,3,10,,,,,3,6,12,24,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002377,7,22,27,42,5,1,1,3,3,3,12,5,17,,,,,8,12,10,21,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002387,8,3,9,8,1,0,1,1,1,2,2,1,2,,,,,1,3,9,4,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002397,1,20,23,12,2,0,2,2,7,6,16,8,25,,,,,3,13,13,37,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002407,2,28,27,15,4,1,0,3,4,1,15,13,22,,,,,4,8,8,35,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002417,3,17,35,23,5,1,3,7,7,3,28,6,21,,,,,7,4,12,21,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002427,4,17,27,18,4,0,4,3,1,3,22,5,25,,,,,7,6,16,39,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002437,5,15,42,22,3,1,0,3,5,4,17,5,31,,,,,1,5,16,37,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002447,6,7,21,11,4,0,1,0,5,2,9,4,15,,,,,1,5,8,21,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001377,1,23,19,25,4,4,0,19,0,4,11,2,9,,,,,8,15,7,14,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001387,2,28,36,26,3,3,1,9,1,7,8,8,4,,,,,8,4,9,12,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001397,3,27,34,22,3,2,0,18,2,4,11,4,11,,,,,4,7,13,16,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001407,4,24,27,24,2,1,1,14,4,3,16,5,15,,,,,7,13,7,14,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001417,5,29,19,32,1,1,2,22,0,4,13,1,6,,,,,7,6,10,22,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001427,6,31,26,15,2,3,2,15,3,8,11,5,13,,,,,8,6,11,21,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001437,7,26,22,23,9,3,0,16,1,1,5,4,11,,,,,7,2,7,21,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001447,8,19,21,27,3,3,1,16,8,3,16,4,9,,,,,11,6,4,20,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002497,1,19,43,22,4,1,0,3,6,3,12,6,12,,,,,5,11,8,25,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002507,2,15,31,25,8,1,1,4,4,6,9,8,27,,,,,3,7,17,18,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002517,3,30,25,24,4,1,2,1,3,5,17,9,13,,,,,5,6,12,21,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002527,4,24,18,24,6,2,0,7,4,6,19,5,18,,,,,3,10,12,27,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002537,5,26,22,28,4,1,2,7,2,5,15,3,27,,,,,2,8,13,22,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002547,6,32,28,34,3,2,1,10,0,4,9,9,13,,,,,7,7,13,21,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002557,7,26,25,30,7,0,2,7,6,2,21,3,10,,,,,4,12,11,22,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002567,8,24,34,26,8,1,1,5,4,3,12,3,14,,,,,2,12,12,21,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002577,9,17,29,26,7,1,0,5,4,2,8,3,21,,,,,7,8,14,21,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002587,10,20,24,21,15,3,2,2,5,5,8,3,16,,,,,2,6,28,32,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002597,11,27,32,26,1,0,2,3,4,0,16,3,21,,,,,5,6,14,29,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002607,12,21,32,25,6,1,2,3,3,2,11,7,12,,,,,3,4,18,25,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002617,13,18,30,23,8,1,0,3,5,2,15,8,10,,,,,2,7,20,13,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002627,14,15,31,33,5,1,1,9,8,2,9,5,19,,,,,10,10,11,18,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002637,15,31,19,25,6,1,1,2,6,4,10,6,11,,,,,8,12,7,18,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002647,16,27,25,36,4,3,0,6,5,4,11,8,9,,,,,9,7,10,15,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002657,17,32,21,22,6,0,1,5,4,3,15,5,12,,,,,6,6,10,14,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002667,18,8,5,5,0,0,0,2,2,2,3,3,4,,,,,0,2,6,2,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001917,1,19,45,35,5,1,1,8,5,3,14,4,14,,,,,5,10,9,11,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001927,2,19,38,22,5,0,5,5,9,3,13,2,14,,,,,4,10,16,12,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001937,3,26,34,37,1,2,4,3,4,10,9,6,10,,,,,4,4,13,18,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001947,4,33,34,34,5,4,2,6,5,7,12,4,11,,,,,6,6,10,13,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001957,5,31,38,27,2,2,0,6,5,4,8,5,13,,,,,8,11,12,14,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001967,6,27,29,30,5,4,1,14,3,6,16,4,16,,,,,1,3,11,15,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001977,7,28,43,35,3,4,2,6,7,2,15,5,11,,,,,4,8,13,20,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001987,8,31,29,38,4,0,0,4,3,1,10,5,11,,,,,4,8,11,17,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001997,9,19,23,41,8,0,2,3,3,3,10,4,10,,,,,6,7,7,14,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002007,10,34,33,38,5,2,1,2,3,8,6,2,12,,,,,6,10,18,8,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002017,11,27,32,30,2,2,1,6,4,6,13,4,9,,,,,3,9,13,20,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002027,12,24,40,41,2,0,3,3,6,4,8,2,6,,,,,5,6,24,15,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002037,13,21,27,35,9,1,1,3,1,8,15,3,19,,,,,4,8,12,21,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002047,14,25,30,16,5,1,3,5,7,3,15,8,10,,,,,2,1,11,19,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002057,15,13,13,15,8,6,0,4,1,3,3,2,3,,,,,6,11,9,3,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001597,1,33,31,28,4,1,1,2,3,2,6,3,14,,,,,8,14,10,25,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001607,2,28,34,24,4,3,1,3,2,3,16,4,10,,,,,5,7,11,15,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001617,3,23,41,30,2,1,1,5,1,8,15,2,12,,,,,10,9,13,15,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001627,4,27,38,26,5,3,1,4,3,6,7,4,10,,,,,7,13,17,12,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001637,5,32,25,38,2,2,1,12,4,5,13,6,5,,,,,3,8,6,13,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001647,6,20,37,24,4,9,0,1,3,8,17,5,10,,,,,5,8,9,5,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001657,7,31,22,30,5,2,1,5,3,5,15,7,7,,,,,10,9,9,11,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001667,8,19,34,32,4,2,1,4,6,5,7,3,6,,,,,8,9,14,8,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001677,9,27,26,20,1,2,0,8,4,2,10,4,8,,,,,20,9,10,10,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001687,10,24,33,20,5,0,1,3,2,17,16,5,10,,,,,6,8,13,15,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002807,1,17,33,9,7,0,2,0,4,2,14,10,27,,,,,2,12,8,48,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002817,2,14,30,7,7,0,1,2,6,5,15,7,24,,,,,3,21,9,48,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002827,3,16,23,7,11,0,2,3,7,2,14,11,37,,,,,3,19,9,46,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002837,4,16,34,12,8,0,1,4,6,5,16,7,36,,,,,4,11,3,43,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002847,5,10,14,5,0,1,2,1,4,1,3,3,24,,,,,1,9,4,32,
1,Tomás Frías,1,Potosí,1494,Potosí,28,Esc. Gregorio Barriga,5002857,1,20,26,10,4,0,3,4,4,6,19,3,38,,,,,2,11,15,40,
1,Tomás Frías,1,Potosí,1494,Potosí,28,Esc. Gregorio Barriga,5002867,2,5,2,3,0,0,1,0,2,0,1,0,3,,,,,0,1,1,9,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005287,1,21,26,28,9,0,0,2,9,4,11,6,25,,,,,5,9,13,31,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005297,2,22,35,23,5,1,0,1,3,4,18,8,26,,,,,3,7,15,24,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005307,3,24,22,17,8,3,1,1,4,1,9,9,24,,,,,2,12,22,36,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005317,4,20,30,12,5,0,2,4,4,3,24,6,32,,,,,3,8,19,31,
