CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS,MTS,LIBRE,XS-CH,FRI,CHR,NGP,ASOCOIN-POROMA,COKASAL,A-UPP,FUERZA,APB-SUMATE
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004727,1,40,36,3,27,3,2,18,10,,,4,17,4
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004737,2,45,27,2,26,1,6,14,9,,,2,17,9
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004747,3,50,36,3,27,1,6,17,4,,,7,11,8
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004757,4,32,37,3,27,2,4,14,9,,,3,21,10
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004767,5,32,49,0,21,4,8,24,8,,,2,19,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004777,6,46,31,3,26,2,7,10,5,,,4,16,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004787,7,27,35,4,27,3,4,15,8,,,9,10,7
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004797,8,25,43,6,22,7,2,14,11,,,1,18,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004807,9,32,28,5,27,5,8,22,10,,,5,10,7
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004817,10,38,45,4,23,3,3,6,6,,,7,16,7
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004827,11,34,21,2,20,4,5,23,14,,,6,16,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004837,12,36,36,3,29,2,5,21,12,,,2,10,10
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004847,13,28,37,3,22,1,8,15,9,,,4,18,18
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004857,14,35,32,1,31,3,6,15,9,,,4,12,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004867,15,29,24,3,24,4,4,31,4,,,3,7,9
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008517,1,23,12,6,9,7,2,6,7,,,7,20,6
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008527,2,31,19,4,12,5,5,10,5,,,2,22,6
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008537,3,16,17,2,7,10,5,8,8,,,7,15,4
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008547,4,13,14,8,1,8,7,7,2,,,7,20,2
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008557,5,23,21,8,5,9,7,8,7,,,5,23,3
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008567,6,17,25,1,7,7,2,4,4,,,5,27,2
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008577,7,18,20,7,6,10,4,6,1,,,7,21,1
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008587,8,23,21,3,10,12,3,8,9,,,2,25,1
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008597,9,18,19,7,12,8,3,10,9,,,6,24,1
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008607,10,20,18,2,4,8,0,11,3,,,7,19,1
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008617,11,17,8,5,6,6,4,5,1,,,4,23,3
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005277,1,22,20,5,14,8,5,11,14,,,11,16,4
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005287,2,21,27,5,7,4,2,15,6,,,11,18,9
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005297,3,24,18,5,14,6,10,10,5,,,6,27,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005307,4,28,24,2,20,7,7,15,6,,,5,13,6
