CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,LIBRE,NGP,PATRIA-UNIDOS,MTS,FRI,XS-CH,A-UPP
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004791,8,48,19,5,57,7,3,9,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004801,9,48,20,7,35,2,10,6,4
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004811,10,59,18,4,51,2,3,5,3
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004821,11,55,17,9,45,2,3,4,2
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004831,12,57,23,6,53,2,7,1,2
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004841,13,53,17,6,55,3,6,2,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004851,14,44,29,8,43,6,7,7,7
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004861,15,53,19,4,36,2,9,2,3
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008511,1,32,8,6,30,6,3,13,5
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008521,2,31,10,5,37,8,2,11,5
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008531,3,22,8,2,28,3,7,18,4
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008541,4,16,6,1,25,11,6,10,9
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008551,5,29,9,2,28,4,6,14,5
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008561,6,29,6,2,42,5,2,15,0
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008571,7,26,9,3,31,13,6,13,1
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008581,8,21,13,4,41,7,2,14,6
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008591,9,28,2,5,27,6,4,10,5
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008601,10,28,8,3,25,5,1,9,1
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008611,11,18,5,1,24,8,3,9,1
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005271,1,33,13,10,39,5,7,12,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005281,2,32,15,5,47,4,1,7,13
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005291,3,33,14,4,45,2,8,6,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005301,4,44,16,7,38,1,6,7,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005311,5,33,14,5,42,7,7,6,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005321,6,25,20,2,27,1,13,5,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005331,7,35,13,5,40,5,5,6,10
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005341,8,48,18,4,46,0,6,6,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005351,9,35,14,6,43,6,7,5,8
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005361,10,34,13,4,50,2,8,5,8
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005371,11,45,17,5,29,5,5,6,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005381,12,25,20,10,33,4,9,8,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005391,13,32,12,6,39,3,8,7,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005401,14,34,13,7,30,6,8,7,4
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005411,15,44,17,4,38,2,6,6,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005421,16,42,16,7,41,3,5,5,8
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005431,17,26,21,2,37,4,11,8,3
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005441,18,38,25,2,47,7,7,5,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005451,19,34,6,2,43,4,3,8,7
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005461,20,37,18,2,35,8,4,10,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005471,21,34,19,1,40,4,10,3,7
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005481,22,47,10,1,31,4,6,9,3
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005491,23,45,17,2,45,3,7,4,8
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005501,24,26,14,6,39,5,7,5,8
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005511,25,15,10,1,16,2,2,3,4
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003191,1,49,20,3,55,3,5,4,3
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003201,2,48,23,7,53,4,4,5,3
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003211,3,65,23,5,39,5,7,3,7
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003221,4,58,25,5,41,7,5,3,4
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003231,5,55,18,2,46,4,12,1,4
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003241,6,24,6,2,19,0,5,4,1
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000961,1,46,17,4,57,3,6,6,5
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000971,2,46,13,1,55,2,6,11,4
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000981,3,47,19,2,37,2,6,9,6
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000991,4,53,21,4,36,1,3,16,3
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001001,5,60,9,5,36,1,5,17,2
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001011,6,53,15,7,37,3,13,9,5
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001021,7,49,11,8,46,9,8,8,7
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001031,8,43,33,5,38,2,7,9,1
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001041,9,45,25,5,45,4,7,6,6
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001051,10,34,24,4,44,5,4,9,1
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001061,11,57,18,5,51,1,3,7,4
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001071,12,51,13,1,31,7,9,13,4
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001081,13,3,4,0,4,4,1,0,1
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009501,1,32,12,1,52,1,8,5,4
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009511,2,17,11,4,38,7,7,3,5
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009521,3,37,7,1,53,5,7,5,4
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009531,4,26,9,7,49,4,6,6,2
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009541,5,31,14,7,46,10,4,7,3
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009551,6,33,6,2,55,2,8,5,4
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009561,7,39,10,10,28,10,4,8,6
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009571,8,26,15,6,43,3,6,5,7
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009581,9,24,12,5,28,6,4,7,3
