CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UN,UNPA,NGP,MTS,UNIDOS-,PATRIA-UNIDOS,LIBRE,SOLUCIONES-CON-TODOS,PDC,A-UPP,POKUY,FRI,APB-SUMATE,U.P.C,CREE,UNE,FAP,F-S,ARI,TU,PPS
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001797,24,,,10,4,4,8,11,8,1,29,,6,63,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001807,25,,,5,4,7,11,16,11,6,30,,2,62,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001817,26,,,13,5,6,8,19,2,4,22,,0,69,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001827,27,,,11,5,4,9,17,5,7,17,,4,69,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001837,28,,,6,4,5,12,14,7,2,18,,1,82,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001847,29,,,13,4,5,10,12,4,5,10,,2,75,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001857,30,,,10,6,3,12,20,4,5,15,,6,79,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001867,31,,,8,8,3,5,11,11,3,15,,8,68,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001877,32,,,16,6,2,11,12,10,2,11,,1,68,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001887,33,,,6,5,4,18,15,5,1,20,,1,83,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001897,34,,,10,2,5,8,4,9,3,8,,1,69,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001387,1,,,5,3,2,12,4,6,3,13,,3,55,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001397,2,,,11,0,3,10,9,11,1,15,,1,75,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001407,3,,,15,8,5,8,13,10,3,12,,4,77,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001417,4,,,13,3,6,2,13,3,3,22,,0,63,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001427,5,,,8,12,5,6,10,4,5,26,,2,62,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001437,6,,,14,3,2,10,15,10,6,17,,2,73,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001447,7,,,9,2,11,2,15,3,3,16,,5,65,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001457,8,,,8,8,8,9,5,3,1,14,,5,87,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001467,9,,,16,6,8,11,13,10,3,20,,2,62,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001477,10,,,11,5,9,10,11,3,4,21,,4,70,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001487,11,,,5,3,7,5,14,7,3,15,,5,93,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001497,12,,,6,8,6,8,18,8,4,21,,4,70,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001507,13,,,7,3,8,10,10,12,4,14,,2,61,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001517,14,,,19,5,2,7,5,5,3,19,,2,71,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001527,15,,,9,5,6,6,7,13,1,13,,2,78,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001537,16,,,9,5,2,8,14,15,4,16,,1,75,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001547,17,,,6,4,4,12,14,9,2,19,,2,60,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001557,18,,,5,1,1,4,1,3,0,3,,1,15,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003047,1,,,12,2,3,3,5,6,5,9,,4,101,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003057,2,,,15,1,3,13,24,11,1,7,,2,83,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003067,3,,,5,3,8,8,15,3,2,14,,4,90,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003077,4,,,10,3,10,9,22,4,4,16,,1,77,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003087,5,,,16,3,8,8,17,10,9,12,,1,95,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003097,6,,,11,0,5,9,15,11,1,8,,1,124,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003107,7,,,7,5,4,13,12,16,4,12,,1,70,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003117,8,,,11,3,6,10,16,12,3,9,,1,105,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003127,9,,,11,5,9,12,13,7,4,12,,0,86,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003137,10,,,9,6,2,11,10,8,8,14,,2,86,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003147,11,,,7,4,0,3,10,7,4,15,,7,101,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003157,12,,,12,2,7,5,10,6,3,8,,6,92,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003167,13,,,6,2,2,7,17,9,2,9,,1,101,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003177,14,,,11,5,4,10,14,9,3,11,,3,85,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003187,15,,,4,6,6,5,17,6,2,12,,1,110,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003197,16,,,5,6,9,6,18,8,0,6,,1,105,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003207,17,,,8,4,6,9,15,12,1,13,,1,86,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003217,18,,,7,6,2,11,12,7,2,8,,3,103,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003227,19,,,11,5,2,9,12,2,3,3,,2,54,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017187,1,,,9,6,8,9,14,15,1,9,,1,78,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017197,2,,,13,6,3,5,13,10,4,11,,6,67,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017207,3,,,12,4,7,3,17,11,4,7,,6,80,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017217,4,,,14,6,8,9,21,12,3,9,,7,62,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017227,5,,,9,5,1,5,11,5,2,16,,3,86,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017237,6,,,9,5,7,11,16,14,5,18,,6,84,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017247,7,,,9,5,8,3,15,11,5,7,,6,79,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017257,8,,,6,3,9,9,17,12,4,14,,7,66,,,,,,,,
