CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,MTS,UNIDOS-,NGP,PDC,FRI,A-UPP,APB-SUMATE,LIBRE
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001871,32,,12,23,3,6,3,2,24,68,27
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001881,33,,16,14,6,5,4,6,31,75,17
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001891,34,,10,15,1,5,2,3,15,38,7
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001381,1,,14,13,3,4,2,6,19,58,8
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001391,2,,11,21,1,5,6,3,22,70,12
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001401,3,,13,33,4,6,0,6,14,75,20
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001411,4,,9,21,3,8,3,6,26,53,11
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001421,5,,10,28,2,7,3,8,23,56,10
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001431,6,,9,34,2,7,4,1,26,72,15
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001441,7,,5,25,1,5,2,8,27,61,14
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001451,8,,17,20,4,7,5,6,19,77,10
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001461,9,,13,37,6,10,2,9,21,59,13
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001471,10,,10,30,1,10,5,6,23,57,19
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001481,11,,8,30,6,4,1,9,16,83,14
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001491,12,,7,28,4,6,3,9,21,60,23
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001501,13,,13,14,8,7,3,9,21,54,21
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001511,14,,14,24,3,12,1,3,21,68,11
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001521,15,,8,18,3,7,3,4,20,91,11
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001531,16,,12,20,2,7,4,4,22,77,16
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001541,17,,16,21,4,12,4,6,24,57,9
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001551,18,,1,5,1,2,1,3,7,23,1
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003041,1,,4,25,3,6,4,4,12,100,18
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003051,2,,9,21,3,11,4,5,16,83,36
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003061,3,,6,21,4,5,1,3,18,86,21
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003071,4,,11,28,6,4,5,11,17,70,19
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003081,5,,10,33,5,5,6,5,24,69,19
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003091,6,,5,21,1,7,1,5,21,82,24
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003101,7,,11,19,9,5,4,6,13,68,23
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003111,8,,9,21,8,8,2,8,15,98,13
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003121,9,,11,27,8,7,5,4,16,75,12
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003131,10,,18,17,5,6,8,4,16,76,18
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003141,11,,10,34,1,8,0,4,16,80,22
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003151,12,,7,18,7,10,3,5,13,86,11
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003161,13,,10,17,1,4,9,0,11,106,14
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003171,14,,14,26,4,4,0,5,18,79,15
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003181,15,,9,25,2,5,3,5,13,105,14
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003191,16,,8,19,8,4,1,4,9,92,17
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003201,17,,12,18,6,12,2,4,11,76,20
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003211,18,,11,20,3,5,3,5,14,93,16
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003221,19,,9,23,1,5,4,0,4,52,14
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017181,1,,8,25,1,3,3,4,18,79,12
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017191,2,,10,23,1,5,5,5,20,64,23
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017201,3,,4,23,3,7,3,5,19,77,22
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017211,4,,12,22,1,7,7,5,16,71,19
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017221,5,,13,21,3,2,5,4,14,82,21
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017231,6,,12,25,3,6,4,7,21,72,24
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017241,7,,10,23,3,3,2,6,15,62,23
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017251,8,,10,21,4,11,2,11,18,63,25
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017261,9,,11,11,8,5,4,3,11,75,27
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017271,10,,5,23,4,4,3,4,21,97,14
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017281,11,,7,14,1,4,3,3,13,40,16
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000591,1,,9,17,6,7,2,0,20,86,18
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000601,2,,9,13,2,6,2,3,12,98,23
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000611,3,,8,21,2,5,1,3,11,99,14
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000621,4,,12,23,4,12,6,4,17,78,20
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000631,5,,13,23,5,5,8,2,10,85,21
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000641,6,,12,21,1,7,3,6,11,89,25
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000651,7,,17,30,0,8,0,6,13,72,21
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000661,8,,18,16,3,6,2,5,21,76,29
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000671,9,,11,25,2,6,5,5,14,84,15
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000681,10,,10,29,7,5,2,6,10,79,24
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000691,11,,15,26,5,5,3,4,15,74,22
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000701,12,,5,25,4,9,6,3,15,83,10
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000711,13,,11,20,3,6,4,6,19,72,28
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000721,14,,7,20,6,4,1,5,20,92,13
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000731,15,,12,17,2,6,4,4,12,101,25
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000741,16,,15,25,5,3,4,9,17,75,14
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000751,17,,10,20,2,7,4,2,16,86,27
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000761,18,,11,32,0,8,6,5,11,78,17
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000771,19,,13,24,2,4,2,2,10,96,21
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000781,20,,9,17,8,15,0,8,22,81,14
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000791,21,,8,23,5,1,3,4,11,92,18
