CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,MTS,CDC,PDC,ISA,APB-SUMATE,A-UPP,NGP
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000511,5,17,5,15,13,10,2,6,10
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000521,6,21,2,27,8,5,1,4,9
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000531,7,19,7,19,14,2,1,2,4
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000541,8,1,2,1,0,1,0,0,2
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000551,1,40,8,50,7,3,1,1,8
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000561,2,20,13,42,0,1,2,2,7
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000571,3,18,12,45,9,2,2,4,3
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000581,4,23,17,26,10,5,0,2,2
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000591,5,30,12,38,6,6,0,9,3
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000601,6,33,12,30,10,3,0,4,2
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000611,7,47,9,24,1,4,0,2,7
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000621,1,16,11,26,2,4,2,0,2
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000631,2,16,11,23,8,4,2,1,7
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000641,3,2,1,4,1,1,0,0,0
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000651,1,24,1,15,7,6,2,4,12
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000661,2,17,0,12,7,3,0,3,12
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000821,1,70,9,65,9,2,0,1,1
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000831,2,58,7,75,10,2,7,2,3
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000841,3,57,6,67,13,2,2,0,6
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000851,4,65,10,70,11,2,3,1,3
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000861,5,61,9,65,14,2,3,1,2
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000871,6,70,2,70,14,0,2,1,3
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000881,7,52,4,68,17,1,2,4,4
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000891,8,62,13,71,6,1,1,1,1
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000901,9,37,3,46,11,2,0,2,2
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001201,1,60,6,77,10,1,0,4,2
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001211,2,45,6,68,10,1,5,1,3
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001221,3,47,6,83,20,0,2,1,3
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001231,4,43,5,88,18,1,4,1,4
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001241,5,57,3,79,11,4,2,4,5
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001251,6,62,11,68,13,0,3,3,3
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001261,7,50,3,76,15,0,4,2,4
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001271,8,54,4,83,11,4,0,2,3
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001281,9,33,3,31,5,1,1,1,0
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001351,1,61,11,64,16,2,2,0,2
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001361,2,54,2,67,14,0,5,1,6
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001371,3,45,9,52,17,4,2,3,8
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001381,4,57,6,59,23,4,2,1,5
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001391,5,62,5,64,15,2,0,2,8
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001401,6,60,3,67,21,1,2,1,5
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001411,7,65,8,52,19,3,3,1,4
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001421,8,53,5,74,17,5,1,2,3
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001431,9,63,8,56,20,3,0,1,5
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001441,10,29,3,30,4,0,1,1,5
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000951,1,60,4,80,15,3,3,2,3
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000961,2,50,8,72,19,1,2,0,6
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000971,3,56,6,61,13,3,3,2,5
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000981,4,55,8,81,14,1,0,0,6
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000991,5,64,8,84,17,3,2,2,6
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001001,6,50,4,90,4,3,7,2,4
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001011,7,49,8,62,17,2,2,3,7
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001021,8,41,4,71,15,2,3,2,7
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001031,9,59,9,61,22,3,1,1,3
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001041,10,46,9,69,15,3,4,2,4
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001051,11,59,9,70,13,4,2,2,3
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001061,12,61,10,69,14,0,4,3,7
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001071,13,51,10,74,15,2,3,0,1
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001081,14,9,1,14,2,0,0,0,1
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002071,1,43,7,56,26,4,1,3,9
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002081,2,51,7,53,6,5,1,0,3
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002091,3,51,6,56,14,3,1,5,4
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002101,4,43,6,68,15,6,0,2,4
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002111,5,65,3,67,28,6,0,1,5
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002121,6,38,10,62,16,4,1,3,8
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002131,7,55,8,52,16,7,2,3,10
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002141,8,57,7,56,13,3,1,5,5
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002151,9,36,7,78,18,6,3,3,3
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002161,10,51,5,55,10,4,1,2,6
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002171,11,46,5,57,23,1,1,2,6
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002181,12,27,10,31,14,1,0,2,2
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001451,1,59,6,67,21,3,2,2,2
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001461,2,44,10,68,19,2,4,3,5
