CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PDC,VENCEREMOS,JALLALLA LP,IH,PATRIA-SOL,MTS,FRI,SPBC,ASLP,APB-SUMATE,M.P.S.,A-UPP,UPC,ASP,VIDA,LIBRE,NGP
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012501,10,0,9,7,21,69,11,2,6,22,1,1,3,4,3,3,16,10
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012511,11,0,2,3,1,6,1,0,0,1,0,1,0,1,0,0,2,1
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012521,1,1,28,0,31,43,7,0,24,5,3,5,3,0,7,13,6,1
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012531,2,4,21,6,26,62,15,2,5,18,2,7,1,3,3,6,10,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012541,3,6,17,8,22,38,15,2,2,19,9,5,1,4,2,11,10,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012551,4,3,22,7,20,48,18,1,3,12,5,6,6,4,2,5,18,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012561,5,0,24,8,29,46,15,1,5,12,2,3,2,8,6,4,12,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012571,6,3,29,7,15,57,16,1,0,10,3,2,2,4,5,5,19,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012581,7,2,24,7,22,44,15,1,9,11,1,1,4,6,3,5,18,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012591,8,5,16,7,31,44,12,3,5,14,8,4,7,6,3,4,6,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012601,9,2,15,4,23,56,15,3,5,17,5,4,4,2,4,8,18,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012611,10,2,16,6,15,48,13,0,3,16,1,0,3,5,4,10,25,17
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012621,11,1,23,5,15,56,13,1,3,19,2,3,8,9,1,4,7,13
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012631,12,0,30,8,20,42,12,3,5,9,4,2,3,10,6,6,9,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012641,13,3,23,2,33,53,14,0,4,16,4,3,1,7,1,3,16,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012651,14,2,20,7,25,49,13,1,3,21,4,4,4,6,5,4,12,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012661,15,2,21,9,21,44,15,1,3,14,3,0,1,4,6,12,10,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012671,16,1,5,2,5,12,2,1,0,2,3,0,0,0,2,0,2,0
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013141,1,0,28,2,23,39,12,1,6,22,4,5,2,1,6,5,19,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013151,2,5,11,4,16,32,12,3,13,16,5,3,9,12,2,13,11,10
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013161,3,4,12,3,21,56,7,4,4,8,7,3,1,9,5,7,13,10
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013171,4,2,21,4,23,44,13,2,0,22,5,1,5,9,4,7,16,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013181,5,4,8,9,29,47,15,6,2,12,5,3,2,10,8,11,12,10
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013191,6,7,12,7,25,64,8,4,7,11,1,3,2,6,4,4,14,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013201,7,4,11,3,31,39,12,1,4,17,4,1,1,9,6,11,7,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013211,8,3,22,9,15,43,11,0,3,11,1,3,2,9,1,13,8,16
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,104,Sede Social Plan Autopista,2013221,9,0,5,2,8,12,2,0,4,1,0,1,0,1,0,1,3,2
