CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,LIBRE,MTS,UNIDOS-,NGP,PDC,FRI,A-UPP,APB-SUMATE
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001861,31,4,11,9,39,1,10,1,4,40,69
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001871,32,3,16,16,33,6,7,2,0,34,82
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001881,33,2,18,12,28,5,11,2,2,38,79
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001891,34,0,11,3,26,3,5,3,1,19,47
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001381,1,3,15,8,29,1,3,4,1,24,65
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001391,2,3,10,12,33,2,13,3,2,37,81
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001401,3,4,19,8,50,2,5,1,4,26,78
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001411,4,4,12,10,32,4,14,2,4,35,75
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001421,5,4,9,7,48,2,7,3,2,36,69
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001431,6,3,16,5,49,2,7,2,2,32,90
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001441,7,4,12,6,47,4,6,2,4,39,64
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001451,8,3,13,4,46,4,13,3,2,30,86
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001461,9,1,21,4,62,3,9,3,6,28,59
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001471,10,4,13,10,52,2,9,2,2,30,64
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001481,11,4,8,11,48,5,3,1,5,25,95
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001491,12,3,8,7,49,2,6,1,7,33,83
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001501,13,3,14,13,31,2,11,3,5,30,70
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001511,14,4,14,3,43,2,14,1,0,27,77
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001521,15,7,6,6,37,3,11,2,1,30,105
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001531,16,6,14,7,39,2,7,3,2,34,91
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001541,17,3,19,5,35,5,11,0,5,45,71
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001551,18,2,2,2,7,2,4,0,2,12,24
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003041,1,5,11,16,41,3,7,2,1,19,94
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003051,2,3,15,21,35,4,9,4,3,17,96
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003061,3,3,4,10,35,3,7,0,2,28,102
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003071,4,4,13,11,40,3,6,3,6,28,81
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003081,5,3,11,10,55,4,7,4,1,33,69
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003091,6,7,6,10,45,4,5,1,1,23,97
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003101,7,7,14,10,39,5,10,3,2,28,78
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003111,8,3,8,9,32,11,10,1,5,21,98
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003121,9,3,14,13,35,4,4,1,3,25,87
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003131,10,7,12,16,31,2,5,6,3,29,85
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003141,11,3,17,11,40,0,9,1,2,23,87
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003151,12,6,9,8,38,9,6,1,1,17,94
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003161,13,1,10,10,29,5,5,4,1,23,114
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003171,14,1,11,7,37,4,5,2,3,26,91
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003181,15,3,14,11,39,2,5,5,2,17,110
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003191,16,4,16,6,30,9,4,1,5,11,108
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003201,17,3,14,6,36,1,14,2,2,15,97
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003211,18,4,15,5,41,3,4,1,2,22,105
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003221,19,3,13,7,25,3,8,2,0,10,60
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017181,1,6,18,5,37,1,1,2,2,25,85
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017191,2,8,6,16,38,1,9,2,3,25,70
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017201,3,12,9,11,37,3,7,3,2,21,86
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017211,4,4,12,15,34,3,6,4,2,24,82
